city,lat,lon,temp,humidity,cloudiness,wind speed
tautira,-17.73,-149.15,84.2,54,20,2.24
busselton,-33.65,115.33,58.32,47,11,11.7
kapaa,22.08,-159.32,82.58,66,75,12.75
riohacha,11.54,-72.91,82.51,78,3,11.92
kathu,7.92,98.33,81.05,94,75,3.36
yellowknife,62.46,-114.35,52.41,71,75,10.29
whitehorse,60.72,-135.05,50.0,76,75,3.36
ahipara,-35.17,173.17,61.12,66,16,8.08
norman wells,65.28,-126.83,51.8,62,90,9.17
georgetown,5.41,100.34,84.96,74,20,3.36
mataura,-46.19,168.86,52.25,64,100,11.07
kampene,-3.6,26.67,67.71,93,39,1.95
ponta do sol,32.67,-17.1,72.0,65,40,10.29
karlstad,59.38,13.5,50.54,93,91,6.93
yaan,7.38,8.57,70.93,97,100,5.17
longyearbyen,78.22,15.64,33.8,90,75,2.24
vaini,-21.2,-175.2,78.8,78,75,10.29
hasaki,35.73,140.83,94.28,67,40,9.17
chuy,-33.7,-53.46,57.7,95,79,4.7
fatehpur,25.93,80.8,78.57,83,98,12.21
bluff,-46.6,168.33,52.12,75,89,34.14
saint-philippe,-21.36,55.77,63.43,68,41,9.17
sitka,57.05,-135.33,57.2,71,75,6.93
port alfred,-33.59,26.89,55.58,67,0,9.98
punta arenas,-53.15,-70.92,30.09,68,57,13.87
rikitea,-23.12,-134.97,69.51,65,0,5.48
prykolotne,50.16,37.35,54.34,97,2,7.02
buraydah,26.33,43.98,80.6,32,35,4.7
college,64.86,-147.8,58.71,63,75,3.36
bambous virieux,-20.34,57.76,69.42,83,40,9.17
nikolskoye,59.7,30.79,53.53,87,20,2.28
atuona,-9.8,-139.03,78.15,78,64,19.53
bara,10.37,10.73,71.8,92,98,11.01
iqaluit,63.75,-68.51,48.09,66,75,2.24
abu dhabi,24.47,54.37,95.0,41,93,8.05
barrow,71.29,-156.79,37.4,86,90,16.11
blagoyevo,63.37,47.92,49.62,79,90,8.61
albany,42.6,-73.97,62.11,84,70,2.15
new norfolk,-42.78,147.06,57.61,53,100,7.0
bredasdorp,-34.53,20.04,48.2,81,81,17.22
port macquarie,-31.43,152.92,69.04,36,0,1.99
arraial do cabo,-22.97,-42.03,71.49,87,0,25.64
dikson,73.51,80.55,48.27,83,81,8.21
luderitz,-26.65,15.16,53.37,81,3,5.61
dingle,11.0,122.67,88.05,69,71,8.39
ouesso,1.61,16.05,71.22,88,100,2.21
xuanzhou,30.95,118.76,80.67,76,61,6.29
qaqortoq,60.72,-46.03,59.0,38,100,27.51
saint-pierre,-21.34,55.48,62.49,68,17,9.17
ust-nera,64.57,143.2,50.9,45,56,2.37
ushuaia,-54.8,-68.3,32.0,90,90,33.33
aklavik,68.22,-135.01,57.2,41,20,9.17
warrnambool,-38.38,142.48,66.0,61,0,8.01
limbang,4.75,115.0,80.29,83,75,2.24
marfino,55.7,37.38,56.5,93,75,8.95
hilo,19.73,-155.09,79.21,51,1,10.29
hami,42.8,93.45,73.35,32,0,15.19
hermanus,-34.42,19.23,46.99,88,76,1.01
coihaique,-45.58,-72.07,32.0,94,75,2.24
conde,-7.26,-34.91,73.4,100,65,6.93
rio gallegos,-51.62,-69.22,32.0,85,3,32.21
feicheng,35.26,117.97,83.41,65,0,6.49
victoria,22.29,114.16,88.68,62,26,8.01
taoudenni,22.68,-3.98,93.81,10,0,11.14
guerrero negro,27.98,-114.06,76.5,73,0,10.83
asau,46.43,26.4,55.0,76,38,3.67
hobart,-42.88,147.33,59.09,48,75,12.75
qaanaaq,77.48,-69.36,38.97,88,97,2.06
lebu,-37.62,-73.65,44.96,74,44,17.96
saldanha,-33.01,17.94,50.0,87,71,4.7
champerico,14.3,-91.92,66.67,95,100,1.72
port elizabeth,-33.92,25.57,53.6,76,17,9.17
calbuco,-41.77,-73.13,35.6,93,7,3.36
vila franca do campo,37.72,-25.43,73.4,94,40,13.87
hithadhoo,-0.6,73.08,82.33,70,100,11.56
bengkulu,-3.8,102.27,85.37,63,32,7.85
chokurdakh,70.63,147.92,40.98,81,100,8.16
thompson,55.74,-97.86,55.4,82,75,5.82
mandalgovi,45.76,106.27,63.23,47,91,5.3
necochea,-38.55,-58.74,46.99,95,94,1.99
saint-joseph,-21.37,55.62,61.38,68,25,9.17
amapa,1.0,-52.0,72.1,98,64,2.53
kodiak,57.79,-152.41,62.6,55,1,5.82
grand gaube,-20.01,57.66,69.01,80,2,3.0
horizontina,-27.63,-54.31,66.0,83,22,4.92
yar-sale,66.83,70.83,48.47,87,100,18.92
puerto ayora,-0.74,-90.35,64.99,87,60,8.68
colares,38.8,-9.45,64.35,81,1,24.11
hamilton,39.18,-84.53,73.31,94,40,10.29
khatanga,71.97,102.5,66.2,39,2,7.25
tual,-5.67,132.75,79.77,82,30,21.3
avarua,-21.21,-159.78,77.0,69,0,6.93
vostok,46.49,135.88,55.87,99,100,6.51
cape town,-33.93,18.42,48.52,81,75,5.82
mahebourg,-20.41,57.7,69.8,83,40,9.17
chapais,49.78,-74.85,46.4,87,20,4.7
santa isabel do rio negro,-0.41,-65.02,74.48,96,100,2.17
rudnyy,52.96,63.12,62.6,72,20,8.95
payo,-3.75,103.64,88.84,45,40,5.97
nakamura,32.98,132.93,89.47,57,0,5.77
trincomalee,8.57,81.23,83.66,68,25,16.08
west lorne,42.6,-81.6,69.96,89,97,14.03
hay river,60.82,-115.8,55.4,93,90,14.99
casablanca,33.59,-7.62,70.21,88,75,5.82
maryville,35.76,-83.97,75.88,78,90,14.99
taylorville,39.55,-89.29,75.47,100,1,4.7
upata,8.01,-62.4,81.0,83,32,3.0
jamestown,42.1,-79.24,68.09,93,90,9.17
souillac,-20.52,57.52,69.8,83,40,9.17
tuktoyaktuk,69.45,-133.04,51.8,57,40,12.75
nangong,37.36,115.37,86.31,60,0,5.57
zhanaozen,43.3,52.8,74.48,21,0,11.12
las vegas,36.17,-115.14,98.67,9,1,5.82
lagoa,39.05,-27.98,74.3,94,2,15.86
castro,-24.79,-50.01,57.47,82,0,2.71
fairbanks,64.84,-147.72,58.41,67,75,4.7
benguela,-12.58,13.41,66.47,85,52,2.51
ilulissat,69.22,-51.1,46.4,45,87,12.75
katsuura,35.13,140.3,93.2,63,20,14.99
kaitangata,-46.28,169.85,52.84,63,92,15.75
hervey bay,-25.3,152.85,75.31,43,4,18.34
hobyo,5.35,48.53,75.99,84,82,19.08
ribeira grande,38.52,-28.7,74.68,93,17,10.2
ballina,-28.87,153.57,67.24,55,7,12.75
ofunato,39.07,141.72,93.2,67,75,3.36
hovd,48.01,91.64,56.8,51,58,3.56
butaritari,3.07,172.79,82.42,74,68,12.88
cidreira,-30.18,-50.21,63.97,82,100,11.3
pamekasan,-7.16,113.47,88.18,52,0,9.48
ndago,-4.6,34.35,57.67,79,50,4.12
jonkoping,57.78,14.16,53.35,93,89,5.82
rio cuarto,-33.13,-64.35,57.2,67,2,2.24
noumea,-22.28,166.46,71.6,64,90,14.99
saquarema,-22.92,-42.51,73.4,78,0,8.05
rawson,-43.3,-65.1,41.77,57,46,11.34
basco,20.45,121.97,83.88,81,96,17.56
gejiu,23.31,103.16,69.4,83,100,4.29
pangody,65.85,74.49,61.03,68,67,2.46
lorengau,-2.02,147.27,85.69,72,95,13.27
airai,-8.93,125.41,74.35,45,59,6.93
zalantun,48.0,122.72,58.57,95,100,11.01
east london,-33.02,27.91,59.65,63,0,8.34
agirish,61.92,63.02,55.69,73,100,1.66
geraldton,-28.77,114.6,64.4,59,90,14.99
chota,-6.55,-78.65,54.14,76,13,1.21
road town,18.42,-64.62,82.99,90,27,8.99
severo-kurilsk,50.68,156.12,51.12,88,88,9.42
linhai,28.85,121.12,82.99,69,61,0.87
eaton socon,52.22,-0.29,52.65,91,100,5.01
los llanos de aridane,28.66,-17.92,73.76,78,75,16.11
ardabil,38.25,48.29,44.6,93,20,1.52
